DateTime,Consumption,Month,Year,Date,Time,Week,Day
2016-01-01 01:00:00,10800,1,2016,2016-01-01,01:00:00,53,Friday
2016-01-01 02:00:00,10431,1,2016,2016-01-01,02:00:00,53,Friday
2016-01-01 03:00:00,10005,1,2016,2016-01-01,03:00:00,53,Friday
2016-01-01 04:00:00,9722,1,2016,2016-01-01,04:00:00,53,Friday
2016-01-01 05:00:00,9599,1,2016,2016-01-01,05:00:00,53,Friday
2016-01-01 06:00:00,9524,1,2016,2016-01-01,06:00:00,53,Friday
2016-01-01 07:00:00,9601,1,2016,2016-01-01,07:00:00,53,Friday
2016-01-01 08:00:00,9793,1,2016,2016-01-01,08:00:00,53,Friday
2016-01-01 09:00:00,9815,1,2016,2016-01-01,09:00:00,53,Friday
2016-01-01 10:00:00,9998,1,2016,2016-01-01,10:00:00,53,Friday
2016-01-01 11:00:00,10035,1,2016,2016-01-01,11:00:00,53,Friday
2016-01-01 12:00:00,10098,1,2016,2016-01-01,12:00:00,53,Friday
2016-01-01 13:00:00,10345,1,2016,2016-01-01,13:00:00,53,Friday
2016-01-01 14:00:00,10478,1,2016,2016-01-01,14:00:00,53,Friday
2016-01-01 15:00:00,10551,1,2016,2016-01-01,15:00:00,53,Friday
2016-01-01 16:00:00,10646,1,2016,2016-01-01,16:00:00,53,Friday
2016-01-01 17:00:00,11104,1,2016,2016-01-01,17:00:00,53,Friday
2016-01-01 18:00:00,11463,1,2016,2016-01-01,18:00:00,53,Friday
2016-01-01 19:00:00,11494,1,2016,2016-01-01,19:00:00,53,Friday
2016-01-01 20:00:00,11518,1,2016,2016-01-01,20:00:00,53,Friday
2016-01-01 21:00:00,11594,1,2016,2016-01-01,21:00:00,53,Friday
2016-01-01 22:00:00,11412,1,2016,2016-01-01,22:00:00,53,Friday
2016-01-01 23:00:00,11076,1,2016,2016-01-01,23:00:00,53,Friday
2016-01-02 00:00:00,11271,1,2016,2016-01-02,00:00:00,53,Saturday
2016-01-02 01:00:00,11167,1,2016,2016-01-02,01:00:00,53,Saturday
2016-01-02 02:00:00,10709,1,2016,2016-01-02,02:00:00,53,Saturday
2016-01-02 03:00:00,10370,1,2016,2016-01-02,03:00:00,53,Saturday
2016-01-02 04:00:00,10136,1,2016,2016-01-02,04:00:00,53,Saturday
2016-01-02 05:00:00,10036,1,2016,2016-01-02,05:00:00,53,Saturday
